date,foundry,advancedfoundry,starforge,advancedstarforge,c,foundryPerc,starforgePerc
2024-07-04,759.0,89.0,825.0,23.0,848,0.8950471698113207,0.972877358490566
2024-07-05,973.0,89.0,1016.0,46.0,1062,0.916195856873823,0.9566854990583804
2024-07-06,855.0,108.0,922.0,41.0,963,0.8878504672897196,0.9574247144340602
2024-07-07,946.0,131.0,1011.0,66.0,1077,0.8783658310120706,0.9387186629526463
2024-07-08,813.0,165.0,937.0,41.0,978,0.8312883435582822,0.9580777096114519
2024-07-09,995.0,203.0,1045.0,153.0,1198,0.830550918196995,0.8722871452420701
2024-07-10,881.0,209.0,1005.0,85.0,1090,0.808256880733945,0.9220183486238532
2024-07-11,1011.0,229.0,1132.0,108.0,1240,0.8153225806451613,0.9129032258064517
2024-07-12,1117.0,152.0,1153.0,116.0,1269,0.880220646178093,0.9085894405043341
2024-07-13,1128.0,124.0,1137.0,115.0,1252,0.9009584664536742,0.90814696485623
2024-07-14,877.0,104.0,843.0,138.0,981,0.8939857288481141,0.8593272171253823
2024-07-15,917.0,106.0,916.0,107.0,1023,0.8963831867057673,0.895405669599218
