"refdate","q25","q50","q75","q90","q95"
2024-01-29,1500.0,1500.0,1500.0,1500.0,1500.0
2024-01-30,1429.3744,1500.0,1633.5177,1766.6238,1851.3757
2024-01-31,1384.4373,1519.8754,1713.5748,1871.5919,1959.5967
2024-02-01,1348.9052,1500.0,1688.2473,1822.0865,1936.1595
2024-02-02,1428.7258,1500.0,1570.0929,1676.4473,1748.0333
2024-02-03,1415.4407,1500.0,1587.9697,1680.7283,1732.6376
2024-02-04,1391.3029,1500.0,1599.7941,1700.0702,1765.1106
2024-02-05,1446.008,1500.0,1571.4979,1662.1704,1719.0264
2024-02-06,1449.6842,1500.9319,1595.7123,1681.2008,1735.2224
2024-02-07,1436.0303,1506.4794,1598.7587,1686.6066,1743.7996
2024-02-08,1434.4882,1514.8126,1609.2644,1699.7932,1761.4631
2024-02-09,1431.1309,1516.6033,1614.6041,1715.8729,1774.0106
2024-02-10,1423.5809,1513.0115,1609.9675,1705.1301,1764.9509
2024-02-11,1427.9894,1518.8167,1611.7029,1711.8635,1771.8317
2024-02-12,1438.6858,1542.8444,1643.759,1742.2203,1799.4575
2024-02-13,1500.0,1608.8053,1716.4938,1816.987,1879.0444
2024-02-14,1502.7565,1622.5996,1735.0594,1849.6262,1909.8391
2024-02-15,1501.7893,1616.923,1731.1473,1832.9155,1894.8066
2024-02-16,1497.9022,1611.972,1716.1548,1814.44,1886.1649
2024-02-17,1483.8655,1592.6968,1716.2393,1834.0995,1907.218
2024-02-18,1482.9296,1602.1521,1722.2565,1833.3699,1905.7943
2024-02-19,1475.843,1602.1766,1734.0256,1858.3878,1951.7083
2024-02-20,1500.0,1626.6908,1749.1602,1869.5707,1955.251
2024-02-21,1500.0,1637.8674,1754.0736,1882.619,1960.5035
2024-02-22,1499.0182,1626.1577,1754.5325,1876.8003,1977.0139
2024-02-23,1478.6833,1613.002,1751.3666,1900.6733,2032.415
2024-02-24,1443.392,1580.7142,1703.8407,1838.9615,1927.1554
2024-02-25,1467.383,1600.514,1734.7742,1865.8336,1964.5746
2024-02-26,1465.2769,1601.4287,1752.0939,1879.4698,1954.5936
2024-02-27,1462.2228,1617.3342,1767.7067,1903.397,2005.019
2024-02-28,1463.389,1629.9462,1775.4498,1921.2753,2012.6287
2024-02-29,1460.3322,1624.7091,1808.8885,1950.7645,2020.209
2024-03-01,1461.7021,1604.7328,1765.7183,1926.9395,1992.2162
2024-03-02,1429.5693,1576.837,1758.188,1884.7389,1972.5436
2024-03-03,1433.0656,1588.6282,1748.8069,1872.9181,1947.8698
2024-03-04,1460.8715,1618.4114,1774.1187,1918.0747,2000.1278
2024-03-05,1450.8092,1612.4578,1789.881,1938.6382,2007.6628
2024-03-06,1436.6938,1612.2938,1799.9253,1983.7977,2072.3296
2024-03-07,1446.0247,1615.3323,1797.0016,1973.7902,2075.3806
2024-03-08,1443.1014,1630.4124,1795.4963,1986.2689,2078.5735
2024-03-09,1413.349,1575.652,1761.0178,1903.5807,2039.8895
2024-03-10,1390.7828,1555.5638,1723.488,1903.0723,2025.8037
2024-03-11,1390.1864,1596.1388,1875.5162,1994.6302,2130.5105
